antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'SKU_7351914'}),frozenset({'SKU_4472217'}),0.007440789566047537,0.0015443148155947718,0.0014179617852279269,0.19056603773584907,123.39843910806175,0.0014064708636613566,1.2335233406707105
frozenset({'SKU_4472217'}),frozenset({'SKU_7351914'}),0.0015443148155947718,0.007440789566047537,0.0014179617852279269,0.9181818181818182,123.39843910806175,0.0014064708636613566,12.131279238637202
frozenset({'SKU_3908011'}),"frozenset({'SKU_2716578', 'SKU_3988011'})",0.006219376939168035,0.0022883937721995254,0.0012073734012831851,0.19413092550790068,84.8328324724065,0.0011931410178286316,1.2380566990445816
"frozenset({'SKU_2716578', 'SKU_3988011'})",frozenset({'SKU_3908011'}),0.0022883937721995254,0.006219376939168035,0.0012073734012831851,0.5276073619631901,84.83283247240648,0.0011931410178286316,2.1037174228430597
frozenset({'SKU_3988011'}),"frozenset({'SKU_3908011', 'SKU_2716578'})",0.008844712125679147,0.0016847070715579329,0.0012073734012831851,0.1365079365079365,81.0276984126984,0.0011924726522191593,1.1561371958546296
"frozenset({'SKU_3908011', 'SKU_2716578'})",frozenset({'SKU_3988011'}),0.0016847070715579329,0.008844712125679147,0.0012073734012831851,0.7166666666666666,81.0276984126984,0.0011924726522191593,3.498195133674072
"frozenset({'SKU_3908011', 'SKU_3988011'})",frozenset({'SKU_2716578'}),0.0018531777787137262,0.009911693270999172,0.0012073734012831851,0.6515151515151515,65.73197270151944,0.0011890052715639431,2.8411229671353935
frozenset({'SKU_2716578'}),"frozenset({'SKU_3908011', 'SKU_3988011'})",0.009911693270999172,0.0018531777787137262,0.0012073734012831851,0.12181303116147307,65.73197270151944,0.0011890052715639431,1.136599445948755
frozenset({'SKU_9364227'}),frozenset({'SKU_9304227'}),0.0034255710455011303,0.0032290218871527045,0.0007019612798158054,0.20491803278688525,63.461332858161086,0.0006909000359338857,1.2536707147398698
frozenset({'SKU_9304227'}),frozenset({'SKU_9364227'}),0.0032290218871527045,0.0034255710455011303,0.0007019612798158054,0.2173913043478261,63.461332858161086,0.0006909000359338857,1.2734006592196376
"frozenset({'SKU_2726578', 'SKU_3998011'})",frozenset({'SKU_3908011'}),0.002990355052015331,0.006219376939168035,0.0009687065661458114,0.323943661971831,52.086192096143456,0.0009501084208953826,1.4699671716108138
frozenset({'SKU_3908011'}),"frozenset({'SKU_2726578', 'SKU_3998011'})",0.006219376939168035,0.002990355052015331,0.0009687065661458114,0.15575620767494355,52.08619209614345,0.0009501084208953826,1.1809499270373187
frozenset({'SKU_7783784'}),frozenset({'SKU_3163783'}),0.004492552190821154,0.0025551390585295316,0.0005756082494489604,0.12812500000000002,50.1440418956044,0.0005641291538737109,1.1440227795744464
frozenset({'SKU_3163783'}),frozenset({'SKU_7783784'}),0.0025551390585295316,0.004492552190821154,0.0005756082494489604,0.22527472527472528,50.144041895604396,0.0005641291538737109,1.284981244689862
frozenset({'SKU_1069332'}),frozenset({'SKU_7382655'}),0.0030886296311895436,0.006879220542194892,0.001038902694127392,0.33636363636363636,48.89560296846011,0.001017655329721281,1.4964833663062818
frozenset({'SKU_7382655'}),frozenset({'SKU_1069332'}),0.006879220542194892,0.0030886296311895436,0.001038902694127392,0.1510204081632653,48.89560296846011,0.001017655329721281,1.1742465660594164
frozenset({'SKU_2988370'}),frozenset({'SKU_8338370'}),0.004197728453298516,0.0028359235704558537,0.0005475297982563282,0.13043478260869565,45.99375807145932,0.0005356253611932457,1.1467386878939758
frozenset({'SKU_8338370'}),frozenset({'SKU_2988370'}),0.0028359235704558537,0.004197728453298516,0.0005475297982563282,0.19306930693069305,45.99375807145931,0.0005356253611932457,1.234061710751127
frozenset({'SKU_3968011'}),"frozenset({'SKU_4440924', 'SKU_3898011'})",0.01861601314071516,0.0013477656572463462,0.0010950595965126563,0.058823529411764705,43.6452205882353,0.0010699695733267537,1.0610679989891758
"frozenset({'SKU_4440924', 'SKU_3898011'})",frozenset({'SKU_3968011'}),0.0013477656572463462,0.01861601314071516,0.0010950595965126563,0.8125,43.64522058823529,0.0010699695733267537,5.234047929916186
frozenset({'SKU_7783784'}),frozenset({'SKU_3672270'}),0.004492552190821154,0.0031869042103637563,0.0006177259262379087,0.13749999999999998,43.14531938325991,0.0006034085927457019,1.1557253284517521
frozenset({'SKU_3672270'}),frozenset({'SKU_7783784'}),0.0031869042103637563,0.004492552190821154,0.0006177259262379087,0.19383259911894274,43.14531938325991,0.0006034085927457019,1.2348644297960851
"frozenset({'SKU_3898011', 'SKU_3690654'})",frozenset({'SKU_3968011'}),0.0020216484858695196,0.01861601314071516,0.0016145109435763522,0.798611111111111,42.89914844142785,0.0015768759087974983,4.873079107163344
frozenset({'SKU_3968011'}),"frozenset({'SKU_3898011', 'SKU_3690654'})",0.01861601314071516,0.0020216484858695196,0.0016145109435763522,0.08672699849170437,42.89914844142785,0.0015768759087974983,1.0927492106587424
"frozenset({'SKU_3908011', 'SKU_3998011'})",frozenset({'SKU_2726578'}),0.0017127855227505651,0.013463617346867147,0.0009687065661458114,0.5655737704918032,42.00756423186721,0.000945646277270244,2.2708950695034376
frozenset({'SKU_2726578'}),"frozenset({'SKU_3908011', 'SKU_3998011'})",0.013463617346867147,0.0017127855227505651,0.0009687065661458114,0.07194994786235662,42.00756423186721,0.000945646277270244,1.0756825153749239
frozenset({'SKU_7382655'}),frozenset({'SKU_1009332'}),0.006879220542194892,0.0033694141431158658,0.000912549663760547,0.1326530612244898,39.36977040816327,0.0008893707207720623,1.1490564401644077
frozenset({'SKU_1009332'}),frozenset({'SKU_7382655'}),0.0033694141431158658,0.006879220542194892,0.000912549663760547,0.2708333333333333,39.36977040816326,0.0008893707207720623,1.3619942118278467
"frozenset({'SKU_3908011', 'SKU_2726578'})",frozenset({'SKU_3998011'}),0.0014039225596316107,0.01781577728172514,0.0009687065661458114,0.69,38.72971631205673,0.0009436945945026251,3.168336202317015
frozenset({'SKU_3998011'}),"frozenset({'SKU_3908011', 'SKU_2726578'})",0.01781577728172514,0.0014039225596316107,0.0009687065661458114,0.05437352245862884,38.72971631205673,0.0009436945945026251,1.0560153518931896
frozenset({'SKU_3581365'}),frozenset({'SKU_3611367'}),0.004169650002105884,0.006640553707057519,0.0009546673405494953,0.22895622895622897,34.47848463493284,0.0009269785557708786,1.2883308102576592
frozenset({'SKU_3611367'}),frozenset({'SKU_3581365'}),0.006640553707057519,0.004169650002105884,0.0009546673405494953,0.14376321353065538,34.47848463493284,0.0009269785557708786,1.1630314951827256
frozenset({'SKU_3968011'}),"frozenset({'SKU_3898011', 'SKU_2716578'})",0.01861601314071516,0.0010950595965126563,0.0006879220542194892,0.03695324283559578,33.74541710175195,0.0006675364103809434,1.0372341041307942
"frozenset({'SKU_3898011', 'SKU_2716578'})",frozenset({'SKU_3968011'}),0.0010950595965126563,0.01861601314071516,0.0006879220542194892,0.6282051282051282,33.74541710175194,0.0006675364103809434,2.6395845163801455
frozenset({'SKU_3988011'}),frozenset({'SKU_3908011'}),0.008844712125679147,0.006219376939168035,0.0018531777787137262,0.20952380952380956,33.688874556594655,0.0017981691800856975,1.2571923544745465
frozenset({'SKU_3908011'}),frozenset({'SKU_3988011'}),0.006219376939168035,0.008844712125679147,0.0018531777787137262,0.2979683972911964,33.68887455659465,0.0017981691800856975,1.411838561184322
"frozenset({'SKU_3968011', 'SKU_3690654'})",frozenset({'SKU_3898011'}),0.0027657274424742733,0.018012326440073567,0.0016145109435763522,0.583756345177665,32.40871450558059,0.001564693758038236,2.359165508430555
frozenset({'SKU_3898011'}),"frozenset({'SKU_3968011', 'SKU_3690654'})",0.018012326440073567,0.0027657274424742733,0.0016145109435763522,0.08963367108339827,32.40871450558058,0.001564693758038236,1.095420866174063
frozenset({'SKU_7057566'}),frozenset({'SKU_7067566'}),0.005601651012930127,0.0033413356919232335,0.0006036867006415926,0.10776942355889724,32.253396095280216,0.0005849697041783912,1.1170415928621424
frozenset({'SKU_7067566'}),frozenset({'SKU_7057566'}),0.0033413356919232335,0.005601651012930127,0.0006036867006415926,0.18067226890756302,32.253396095280216,0.0005849697041783912,1.2136759336355007
frozenset({'SKU_3898011'}),"frozenset({'SKU_4440924', 'SKU_3968011'})",0.018012326440073567,0.0019233739066953066,0.0010950595965126563,0.0607950116913484,31.608524728197484,0.0010604151578389408,1.0626824159980994
"frozenset({'SKU_4440924', 'SKU_3968011'})",frozenset({'SKU_3898011'}),0.0019233739066953066,0.018012326440073567,0.0010950595965126563,0.5693430656934306,31.60852472819748,0.0010604151578389408,2.280208665723897
frozenset({'SKU_3690654'}),"frozenset({'SKU_3968011', 'SKU_3898011'})",0.011666596470538686,0.004618905221187999,0.0016145109435763522,0.13838748495788206,29.961100808708153,0.0015606240402250876,1.1552537566497105
"frozenset({'SKU_3968011', 'SKU_3898011'})",frozenset({'SKU_3690654'}),0.004618905221187999,0.011666596470538686,0.0016145109435763522,0.3495440729483283,29.961100808708153,0.0015606240402250876,1.5194471484167889
frozenset({'SKU_4440924'}),"frozenset({'SKU_3968011', 'SKU_3898011'})",0.008030437041092813,0.004618905221187999,0.0010950595965126563,0.13636363636363638,29.52293451229622,0.0010579677689351312,1.152546530796519
"frozenset({'SKU_3968011', 'SKU_3898011'})",frozenset({'SKU_4440924'}),0.004618905221187999,0.008030437041092813,0.0010950595965126563,0.23708206686930092,29.522934512296217,0.0010579677689351312,1.3002310207708385
"frozenset({'SKU_3898011', 'SKU_3998011'})",frozenset({'SKU_2726578'}),0.0013898833340352946,0.013463617346867147,0.0005475297982563282,0.3939393939393939,29.259550668309792,0.000528816940890089,1.6277850313776692
frozenset({'SKU_2726578'}),"frozenset({'SKU_3898011', 'SKU_3998011'})",0.013463617346867147,0.0013898833340352946,0.0005475297982563282,0.040667361835245046,29.259550668309792,0.000528816940890089,1.0409425020463696
"frozenset({'SKU_3968011', 'SKU_2716578'})",frozenset({'SKU_3898011'}),0.0013898833340352946,0.018012326440073567,0.0006879220542194892,0.4949494949494949,27.478376910177374,0.0006628870218932277,1.9443355936486542
