SKU,STORE,COST,RETAIL
29633,603,13.5,22.5
29633,807,13.5,22.5
29633,903,13.5,22.5
29633,907,13.5,22.5
29633,1702,13.5,22.5
29633,2103,13.5,22.5
29633,2209,13.5,22.5
29633,2509,13.5,22.5
29633,2704,13.5,22.5
29633,2807,13.5,22.5
29633,3109,13.5,22.5
29633,3202,13.5,22.5
29633,3309,13.5,22.5
29633,4103,13.5,22.5
29633,4504,13.5,22.5
29633,4702,13.5,22.5
29633,4804,13.5,22.5
29633,7103,13.5,22.5
29633,7704,13.5,22.5
29633,8309,13.5,22.5
29633,8409,13.5,22.5
29633,8707,13.5,22.5
29633,9303,13.5,22.5
29633,9603,13.5,22.5
29633,9609,13.5,22.5
29951,603,8.4,14.0
29951,807,8.4,14.0
29951,903,8.4,14.0
29951,907,8.4,14.0
29951,1702,8.4,14.0
29951,2103,8.4,14.0
29951,2209,8.4,14.0
29951,2509,8.4,14.0
29951,2704,8.4,14.0
29951,2807,8.4,14.0
29951,3109,8.4,14.0
29951,3202,8.4,14.0
29951,3309,8.4,14.0
29951,4103,8.4,14.0
29951,4504,8.4,14.0
29951,4702,8.4,14.0
29951,4804,8.4,14.0
29951,7103,8.4,14.0
29951,7704,8.4,14.0
29951,8309,8.4,14.0
29951,8409,8.4,14.0
29951,8707,8.4,14.0
29951,9303,8.4,14.0
29951,9603,8.4,14.0
29951,9609,8.4,14.0
108507,603,9.9,16.5
108507,807,9.9,16.5
108507,903,9.9,16.5
108507,907,9.9,16.5
108507,1702,9.9,16.5
108507,2103,9.9,16.5
108507,2209,9.9,16.5
108507,2509,9.9,16.5
108507,2704,9.9,16.5
108507,2807,9.9,16.5
108507,3109,9.9,16.5
108507,3202,9.9,16.5
108507,3309,9.9,16.5
108507,4103,9.9,16.5
108507,4504,9.9,16.5
108507,4702,9.9,16.5
108507,4804,9.9,16.5
108507,7103,9.9,16.5
108507,7704,9.9,16.5
108507,8309,9.9,16.5
108507,8409,9.9,16.5
108507,8707,9.9,16.5
108507,9303,9.9,16.5
108507,9603,9.9,16.5
108507,9609,9.9,16.5
136343,603,6.0,10.0
136343,807,6.0,10.0
136343,903,6.0,10.0
136343,907,6.0,10.0
136343,1702,6.0,10.0
136343,2103,6.0,10.0
136343,2209,6.0,10.0
136343,2509,6.0,10.0
136343,2704,6.0,10.0
136343,2807,6.0,10.0
136343,3109,6.0,10.0
136343,3202,6.0,10.0
136343,3309,6.0,10.0
136343,4103,6.0,10.0
136343,4504,6.0,10.0
136343,4702,6.0,10.0
136343,4804,6.0,10.0
136343,7103,6.0,10.0
136343,7704,6.0,10.0
136343,8309,6.0,10.0
136343,8409,6.0,10.0
136343,8707,6.0,10.0
136343,9303,6.0,10.0
136343,9603,6.0,10.0
136343,9609,6.0,10.0
208362,603,14.4,24.0
208362,807,14.4,24.0
208362,903,14.4,24.0
208362,907,14.4,24.0
208362,1702,14.4,24.0
208362,2103,14.4,24.0
208362,2209,14.4,24.0
208362,2509,14.4,24.0
208362,2704,14.4,24.0
208362,2807,14.4,24.0
208362,3109,14.4,24.0
208362,3202,14.4,24.0
208362,3309,14.4,24.0
