2,ST. PETERSBURG      ,FL,33710,0
3,ST. LOUIS           ,MO,63126,0
4,LITTLE ROCK         ,AR,72201,0
7,FORT WORTH          ,TX,76137,0
9,TEMPE               ,AZ,85281,0
60,ASPEN               ,CO,81611,0
62,TULSA               ,OK,74110,0
65,SAN ANTONIO         ,TX,78218,0
67,DALLAS              ,TX,75207,0
100,SALISBURY           ,NC,28146,0
102,TAMPA               ,FL,33607,1
103,ST LOUIS            ,MO,63117,1
104,CHARLOTTE           ,NC,28216,1
107,HURST               ,TX,76053,1
109,PHOENIX             ,AZ,85015,0
163,ST CHARLES          ,MO,63301,0
200,VALDOSTA            ,GA,31601,0
202,TAMPA               ,FL,33612,1
203,CHESTERFIELD        ,MO,63017,1
204,HOT SPRINGS         ,AR,71913,1
207,ARLINGTON           ,TX,76011,0
209,SCOTTSDALE          ,AZ,85251,1
269,RALEIGH             ,NC,27615,0
300,OLATHE              ,KS,66062,0
302,TAMPA               ,FL,33625,1
303,ST. ANN             ,MO,63074,1
304,FAYETTEVILLE        ,AR,72703,1
307,IRVING              ,TX,75062,1
309,PHOENIX             ,AZ,85051,1
400,MABELVALE           ,AR,72103,0
402,BRANDON             ,FL,33511,1
403,FLORISSANT          ,MO,63034,1
404,PINE BLUFF          ,AR,71601,1
407,FT. WORTH           ,TX,76132,1
409,PHOENIX             ,AZ,85032,1
500,LOUISVILLE          ,KY,40218,0
502,ST PETERSBURG       ,FL,33710,1
503,ST. LOUIS           ,MO,63129,1
504,LITTLE ROCK         ,AR,72205,1
507,FORT WORTH          ,TX,76116,1
509,MESA                ,AZ,85202,1
600,GARDENA             ,CA,90248,0
603,FAIRVIEW HEIGHTS    ,IL,62208,1
604,JONESBORO           ,AR,72401,1
609,PHOENIX             ,AZ,85033,1
700,FT. WORTH           ,TX,76111,0
703,ST. LOUIS           ,MO,63126,1
704,NORTH LITTLE ROCK   ,AR,72116,1
707,DALLAS              ,TX,75240,1
709,GLENDALE            ,AZ,85308,1
800,OLATHE              ,KS,66062,0
802,CLEARWATER          ,FL,33761,1
804,ROGERS              ,AR,72756,1
807,RICHARDSON          ,TX,75081,1
809,CHANDLER            ,AZ,85226,1
813,ST. LOUIS           ,MO,63101,0
900,GILBERT             ,AZ,85233,0
902,LAKELAND            ,FL,33809,1
903,ST. PETERS          ,MO,63376,1
904,COLLIERVILLE        ,TN,38017,1
907,DENTON              ,TX,76205,1
909,MESA                ,AZ,85206,1
1000,LITTLE ROCK         ,AR,72201,0
1002,PORT RICHEY         ,FL,34668,1
1003,MARION              ,IL,62959,1
1004,MEMPHIS             ,TN,38117,1
1007,PLANO               ,TX,75075,1
1009,YUMA                ,AZ,85365,1
1100,BATON ROUGE         ,LA,70801,0
1102,BRADENTON           ,FL,34205,1
1103,JEFFERSON CITY      ,MO,65109,1
1104,MEMPHIS             ,TN,38133,1
1107,LEWISVILLE          ,TX,75067,1
1109,PRESCOTT            ,AZ,86303,1
1202,SARASOTA            ,FL,34239,1
1203,COLUMBIA            ,MO,65203,1
1204,MEMPHIS             ,TN,38115,1
1207,MESQUITE            ,TX,75150,1
1302,SARASOTA            ,FL,34238,1
1304,FORT SMITH          ,AR,72903,1
1307,SHERMAN             ,TX,75090,1
1400,GILBERT             ,AZ,85233,0
1402,PORT CHARLOTTE      ,FL,33948,1
1403,SPRINGFIELD         ,MO,65804,1
1404,VICKSBURG           ,MS,39180,1
1407,ARLINGTON           ,TX,76015,1
1502,FT MYERS            ,FL,33901,1
1504,SOUTHAVEN           ,MS,38671,1
1507,GARLAND             ,TX,75040,1
1509,TUCSON              ,AZ,85705,1
1602,NAPLES              ,FL,34102,1
1607,DALLAS              ,TX,75225,1
1609,FLAGSTAFF           ,AZ,86004,1
1702,LAKE WALES          ,FL,33859,1
1703,ST. JOSEPH          ,MO,64506,1
1704,NASHVILLE           ,TN,37211,0
1707,DALLAS              ,TX,75237,1
1709,TUCSON              ,AZ,85711,1
1800,TEMPE               ,AZ,85281,0
1802,BONITA SPRINGS      ,FL,34135,1
1804,JACKSON             ,MS,39209,0
1807,PLANO               ,TX,75093,1
1819,TUCSON              ,AZ,85716,0
1904,RIDGELAND           ,MS,39157,1
1909,SIERRA VISTA        ,AZ,85635,1
2004,TULLAHOMA           ,TN,37388,1
2007,SAN ANTONIO         ,TX,78216,1
2009,ALBUQUERQUE         ,NM,87114,1
2100,SALISBURY           ,NC,28146,0
2102,ORLANDO             ,FL,32809,1
2103,KANSAS CITY         ,MO,64114,1
2104,NASHVILLE           ,TN,37215,1
2107,SAN ANTONIO         ,TX,78256,1
2109,ALBUQUERQUE         ,NM,87110,1
2200,VALDOSTA            ,GA,31601,0
2202,OVIEDO              ,FL,32765,1
2203,OVERLAND PARK       ,KS,66214,1
