support,itemsets
0.003004394277611647,frozenset({'SKU_29633'})
0.0017268247483468813,frozenset({'SKU_29951'})
0.00443639528843589,frozenset({'SKU_68086'})
0.0037344340086200847,frozenset({'SKU_106343'})
0.005461258756966966,frozenset({'SKU_108507'})
0.0016004717179800361,frozenset({'SKU_136343'})
0.0030886296311895436,frozenset({'SKU_144138'})
0.00234455067458479,frozenset({'SKU_208362'})
0.0014881579132095073,frozenset({'SKU_243921'})
0.012312400847969225,frozenset({'SKU_264715'})
0.0028078451192632215,frozenset({'SKU_270896'})
0.003818669362197981,frozenset({'SKU_318506'})
0.007005573572561738,frozenset({'SKU_348498'})
0.002484942930547951,frozenset({'SKU_426672'})
0.0033834533687121817,frozenset({'SKU_493803'})
0.0013618048828426624,frozenset({'SKU_548506'})
0.004001179294950091,frozenset({'SKU_566969'})
0.001572393266787404,frozenset({'SKU_593920'})
0.004661022897976948,frozenset({'SKU_593921'})
0.0015302755899984557,frozenset({'SKU_656219'})
0.0043521599348579935,frozenset({'SKU_691755'})
0.018405424756770417,frozenset({'SKU_726718'})
0.008072554717881762,frozenset({'SKU_776350'})
0.021255387552822587,frozenset({'SKU_803921'})
0.0030886296311895436,frozenset({'SKU_913783'})
0.0011512164988979209,frozenset({'SKU_970638'})
0.0033694141431158658,frozenset({'SKU_1009332'})
0.002077805388254784,frozenset({'SKU_1026672'})
0.0030886296311895436,frozenset({'SKU_1069332'})
0.0010108242429347598,frozenset({'SKU_1147297'})
0.004717179800362212,frozenset({'SKU_1184024'})
0.004296003032472729,frozenset({'SKU_1206132'})
0.002906119698437434,frozenset({'SKU_1226187'})
0.0020216484858695196,frozenset({'SKU_1228352'})
0.001825099327521094,frozenset({'SKU_1240638'})
0.002498982156144267,frozenset({'SKU_1247384'})
0.001825099327521094,frozenset({'SKU_1286187'})
0.0023024329977958417,frozenset({'SKU_1310252'})
0.0018531777787137262,frozenset({'SKU_1337310'})
0.0031728649847674404,frozenset({'SKU_1348183'})
0.002077805388254784,frozenset({'SKU_1380638'})
0.002484942930547951,frozenset({'SKU_1396897'})
0.004927768184306953,frozenset({'SKU_1400555'})
0.004520630642013786,frozenset({'SKU_1410555'})
0.00183913855311741,frozenset({'SKU_1453783'})
0.002583217509722164,frozenset({'SKU_1472914'})
0.0016285501691726684,frozenset({'SKU_1501376'})
0.0012354518524758174,frozenset({'SKU_1568107'})
0.0018672170043100423,frozenset({'SKU_1578107'})
0.0030465119544005955,frozenset({'SKU_1583514'})
0.003888865490179562,frozenset({'SKU_1588107'})
0.002513021381740583,frozenset({'SKU_1640638'})
0.007328475761277008,frozenset({'SKU_1658506'})
0.005026042763481166,frozenset({'SKU_1658851'})
0.021662525095115754,frozenset({'SKU_1832285'})
0.00703365202375437,frozenset({'SKU_1842285'})
0.0029201589240337505,frozenset({'SKU_1888389'})
0.0021760799674289968,frozenset({'SKU_1898389'})
0.002260315321006893,frozenset({'SKU_1901469'})
0.004927768184306953,frozenset({'SKU_1933241'})
0.002246276095410577,frozenset({'SKU_1933309'})
0.005461258756966966,frozenset({'SKU_1943241'})
0.004815454379536425,frozenset({'SKU_1968367'})
0.002709570540089009,frozenset({'SKU_1978367'})
0.0010108242429347598,frozenset({'SKU_2033536'})
0.0033694141431158658,frozenset({'SKU_2056578'})
0.003411531819904814,frozenset({'SKU_2066578'})
0.012256243945583962,frozenset({'SKU_2072671'})
0.001951452357887939,frozenset({'SKU_2083124'})
0.002105883839447416,frozenset({'SKU_2116578'})
0.002484942930547951,frozenset({'SKU_2173309'})
0.002260315321006893,frozenset({'SKU_2257565'})
0.00760926027320333,frozenset({'SKU_2258366'})
0.004745258251554844,frozenset({'SKU_2267565'})
0.009167614314394418,frozenset({'SKU_2288366'})
0.005882435524856449,frozenset({'SKU_2292671'})
0.0021480015162363645,frozenset({'SKU_2303514'})
0.002498982156144267,frozenset({'SKU_2332876'})
0.0051945134706369595,frozenset({'SKU_2356897'})
0.0019374131322916228,frozenset({'SKU_2361001'})
0.006710749835039099,frozenset({'SKU_2366897'})
0.006710749835039099,frozenset({'SKU_2386897'})
0.0018952954555026744,frozenset({'SKU_2393514'})
0.003987140069353775,frozenset({'SKU_2396897'})
0.004211767678894832,frozenset({'SKU_2466897'})
0.0015162363644021396,frozenset({'SKU_2468027'})
0.001165255724494237,frozenset({'SKU_2523536'})
0.006415926097516461,frozenset({'SKU_2571221'})
0.0009967850173384436,frozenset({'SKU_2641331'})
0.00183913855311741,frozenset({'SKU_2664855'})
0.010613654550814977,frozenset({'SKU_2688353'})
0.026730685535385868,frozenset({'SKU_2698353'})
0.011062909769897093,frozenset({'SKU_2708353'})
0.009911693270999172,frozenset({'SKU_2716578'})
0.0023024329977958417,frozenset({'SKU_2718353'})
0.013463617346867147,frozenset({'SKU_2726578'})
0.002484942930547951,frozenset({'SKU_2744854'})
0.02873829479565907,frozenset({'SKU_2783996'})
0.0024428252537590026,frozenset({'SKU_2793996'})
0.0014460402364205591,frozenset({'SKU_2883090'})
0.002583217509722164,frozenset({'SKU_2893159'})
0.0016566286203653006,frozenset({'SKU_2933159'})
0.004197728453298516,frozenset({'SKU_2988370'})
0.006486122225498042,frozenset({'SKU_3013129'})
0.007791770205955439,frozenset({'SKU_3053129'})
0.021072877620070478,frozenset({'SKU_3161221'})
0.0025551390585295316,frozenset({'SKU_3163783'})
0.002583217509722164,frozenset({'SKU_3241469'})
0.00266745286330006,frozenset({'SKU_3296578'})
0.0017268247483468813,frozenset({'SKU_3301573'})
0.0023164722233921576,frozenset({'SKU_3332423'})
0.0030745904055932273,frozenset({'SKU_3387564'})
0.0015302755899984557,frozenset({'SKU_3427564'})
0.033048337053728116,frozenset({'SKU_3524026'})
0.004632944446784315,frozenset({'SKU_3537981'})
